dollar,1000000,2,12,"1,010,866.411"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
euro,50000,3,36,"52,346.18"
pound,1250000,10,60,"1,593,528.35"
dollar,1000000,2,12,"1,010,866.41"
